"","School.URN","School.Name","Year.6.count.NCMP","Any.other.ethnic.group","Asian","Black","Chinese","Mixed","Not.stated","White","Ethinicity..not.provided","Pupil.Index.Of.Multiple.Deprivation.Score","Pupil.Index.Of.Multiple.Deprivation.Decile","Very.Overweight.Prevalance...."
"262",146534,"School_262","29","*","","","","*","","27","",16.16,4,"13.8%"
"263",150078,"School_263","30","*","","","","*","*","26","",3.56,3,"6.7%"
"264",113341,"School_264","49","","","","","","","49","",9.63,3,"10.2%"
"265",139887,"School_265","30","","","","","","10","20","",3.01,5,"6.7%"
"266",148873,"School_266","11","","","","","","","11","",8.24,5,"0.0%"
"267",141847,"School_267","9","","","","","*","","8","",13.89,2,"22.2%"
"268",113369,"School_268","10","","","","","","","10","",9.63,4,"0.0%"
"269",113112,"School_269","7","","","","","","","7","",15.87,5,"0.0%"
"270",144896,"School_270","27","","","","","*","","26","",6.16,4,"11.1%"
"271",144070,"School_271","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",16.78,4,"0.0%"
"272",113132,"School_272","82","","*","","*","*","*","75","",9.41,2,"11.0%"
"273",113172,"School_273","13","","","","","*","","12","",7.05,2,"7.7%"
"274",113106,"School_274","31","","","","","","","31","",4.68,6,"6.5%"
"275",142390,"School_275","54","","*","","","*","","51","",8.16,3,"14.8%"
"276",142886,"School_276","59","*","*","","","*","*","50","",4.11,2,"8.5%"
"277",113113,"School_277","21","","","","","","","21","",4.68,6,"0.0%"
"278",146578,"School_278","48","*","*","*","*","","","39","",4.11,2,"18.8%"
"279",149191,"School_279","34","","","","","","","34","",4.28,4,"2.9%"
"280",136563,"School_280","14","","","","","","","14","",10.01,4,"0.0%"
"281",137659,"School_281","20","","","","","","","20","",8.92,3,"25.0%"
"282",113114,"School_282","57","*","","","","*","","55","",3.01,4,"10.5%"
"283",145763,"School_283","42","*","","*","","*","","39","",6.55,5,"11.9%"
"284",132778,"School_284","43","*","*","*","","","","38","",3.83,2,"11.6%"
"285",113174,"School_285","36","","","","","","*","34","*",15.97,4,"0.0%"
"286",144560,"School_286","11","","","","","","","11","",18.33,4,"9.1%"
"287",113355,"School_287","92","","*","","","","*","89","*",3.07,2,"4.3%"
"288",150060,"School_288","33","","*","","*","","","30","",7.14,1,"9.1%"
"289",113440,"School_289","23","","","","","*","","21","",3.07,6,"4.3%"
"290",113441,"School_290","6","","","","","","","6","",3.56,6,"0.0%"
"291",143412,"School_291","49","","","","","*","*","47","",2.57,4,"6.1%"
"292",139019,"School_292","45","*","*","","","*","","40","",5.64,2,"4.4%"
"293",145765,"School_293","29","","","","","","","28","*",7.05,3,"10.3%"
"294",113176,"School_294","26","","","","","*","","25","",17.41,4,"11.5%"
"295",149629,"School_295","56","5","*","","","","","47","",8.12,2,"12.5%"
"296",136635,"School_296","30","","","","","","*","29","",7.08,6,"16.7%"
"297",146531,"School_297","30","*","*","*","","*","*","23","",8.99,1,"13.3%"
"298",145344,"School_298","10","","","","","","","10","",4.11,4,"0.0%"
